Cycle number,Time (s),Name,Value,Velocity (%),Acceleration (%),Real XYZ Coordinates
1,8.08382640000002,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
1,9.044834600000002,Vacuum,1
1,9.06052249999999,contact_box,"['152', '0', '7']",70,70,"[376.1812307403553, -288.49976925964484, 7.0]"
1,9.484827400000029,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
1,9.916865599999994,swing_end,"['513', '900', '250']",100,100,"[-4.949324319193806, 603.1618818165916, 250.0]"
1,10.644836499999997,Blowoff
2,14.838318700000002,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
2,15.79832170000003,Vacuum,1
2,15.81367670000003,contact_box,"['152', '0', '7']",70,70,"[376.1812307403553, -288.49976925964484, 7.0]"
2,16.2449517,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
2,16.6688896,swing_end,"['513', '900', '250']",100,100,"[-4.949324319193806, 603.1618818165916, 250.0]"
2,17.397109900000032,Blowoff
3,21.16134549999998,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
3,22.132962899999995,Vacuum,1
3,22.154503599999998,contact_box,"['152', '0', '7']",70,70,"[376.1812307403553, -288.49976925964484, 7.0]"
3,22.58242899999999,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
3,23.01352810000003,swing_end,"['513', '900', '250']",100,100,"[-4.949324319193806, 603.1618818165916, 250.0]"
3,23.74097260000002,Blowoff
4,27.556789200000026,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
4,28.517073900000014,Vacuum,1
4,28.538133300000027,contact_box,"['152', '0', '7']",70,70,"[376.1812307403553, -288.49976925964484, 7.0]"
4,28.965247500000032,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
4,29.39707390000001,swing_end,"['513', '900', '250']",100,100,"[-4.949324319193806, 603.1618818165916, 250.0]"
4,30.117087700000013,Blowoff
5,34.11088640000003,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
5,35.06907410000002,Vacuum,1
5,35.09102710000002,contact_box,"['152', '0', '7']",70,70,"[376.1812307403553, -288.49976925964484, 7.0]"
5,35.51710280000003,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
5,35.941132400000015,swing_end,"['513', '900', '250']",100,100,"[-4.949324319193806, 603.1618818165916, 250.0]"
5,36.669180600000004,Blowoff
6,40.88068320000002,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
6,41.84513880000003,Vacuum,1
6,41.86642469999998,contact_box,"['152', '0', '7']",70,70,"[376.1812307403553, -288.49976925964484, 7.0]"
6,42.29326889999999,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
6,42.71738590000001,swing_end,"['513', '900', '250']",100,100,"[-4.949324319193806, 603.1618818165916, 250.0]"
6,43.44524940000002,Blowoff
7,47.61050510000001,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
7,48.573279000000014,Vacuum,1
7,48.59476050000001,contact_box,"['152', '0', '7']",70,70,"[376.1812307403553, -288.49976925964484, 7.0]"
7,49.02134430000001,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
7,49.44527449999998,swing_end,"['513', '900', '250']",100,100,"[-4.949324319193806, 603.1618818165916, 250.0]"
7,50.17329530000001,Blowoff
8,54.284139400000015,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
8,55.24535739999999,Vacuum,1
8,55.26648090000003,contact_box,"['152', '0', '7']",70,70,"[376.1812307403553, -288.49976925964484, 7.0]"
8,55.69342260000002,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
8,56.12534099999999,swing_end,"['513', '900', '250']",100,100,"[-4.949324319193806, 603.1618818165916, 250.0]"
8,56.84535030000001,Blowoff
9,61.015288999999996,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
9,61.98140519999998,Vacuum,1
9,62.002436999999986,contact_box,"['152', '0', '7']",70,70,"[376.1812307403553, -288.49976925964484, 7.0]"
9,62.429375600000014,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
9,62.861423100000025,swing_end,"['513', '900', '250']",100,100,"[-4.949324319193806, 603.1618818165916, 250.0]"
9,63.58947340000003,Blowoff
10,67.68935700000003,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
10,68.65358430000003,Vacuum,1
10,68.6748217,contact_box,"['152', '0', '7']",70,70,"[376.1812307403553, -288.49976925964484, 7.0]"
10,69.1095598,origin,"['152', '0', '250']",70,70,"[376.1812307403553, -288.49976925964484, 250.0]"
10,69.53350169999999,swing_end,"['513', '900', '250']",100,100,"[-4.949324319193806, 603.1618818165916, 250.0]"
10,70.26154810000003,Blowoff
